"kind","line","snippet"
"addEventListener","2047","$('#drawer').classList.remove('hidden');$('#drawerBackdrop').classList.remove('hidden'); $('#drawerBody')?.querySelectorAll('[data-dorm-report-id]').forEach(btn=>btn.addEventListener('click',()=>openDormReportOverlay(btn.dataset.dormReportId,btn.dataset.dormReportStudent))); $('[data-dorm-open-student]')?.addEventListener('click',()=>{ const index=(readonlyCache?.students||[]).findIndex(s=>String(s.id)===String(student.id));if(index<0)return; openStudentDrawer(index);"
"addEventListener","2054","back.onclick=()=>openDormGrowthStudent(student.id,termMode);$('#drawerBody')?.prepend(back); }); $('[data-dorm-open-counsel]')?.addEventListener('click',()=>{ // 심층관리 화면을 유지한 채 우측 상담 패널만 연다. openCounselSidePanel(student.id);"
"addEventListener","2955","$$('[data-input-rotate]').forEach(b=>b.onclick=()=>{const i=Number(b.dataset.inputRotate),img=$(`[data-input-page-img=""${i}""]`);if(!img)return;assets[i].rotation=(assets[i].rotation+90)%360;img.style.transform=`rotate(${assets[i].rotation}deg)`;}); $$('[data-input-open-asset]').forEach(b=>b.onclick=()=>window.schoolBoard?.openInputAsset?.(assets[Number(b.dataset.inputOpenAsset)]?.path||'')); $('[data-input-detail-save]')?.addEventListener('click',()=>{row.reviewText=$('[data-input-review-text]')?.value||'';row.status=row.reviewText?'텍스트검수완료':row.status;toast('확인한 내용을 저장했습니다.');closeDrawer();render('inputs');}); }"
"addEventListener","2987","$$('[data-input-tab]').forEach(b=>b.onclick=()=>{inputCenterConfig.tab=b.dataset.inputTab;render('inputs');}); $$('[data-input-history-mode]').forEach(b=>b.onclick=()=>{inputCenterConfig.historyMode=b.dataset.inputHistoryMode||'active';inputCenterConfig.batchFilter='latest';render('inputs');}); $('[data-input-batch-filter]')?.addEventListener('change',e=>{inputCenterConfig.batchFilter=e.target.value;render('inputs');}); $$('[data-input-scope]').forEach(b=>b.onclick=()=>{inputCenterConfig.libraryScope=b.dataset.inputScope;render('inputs');}); $$('[data-input-grade-filter]').forEach(b=>b.onclick=()=>{inputCenterConfig.gradeFilter=b.dataset.inputGradeFilter;inputCenterConfig.classFilter='all';render('inputs');});"
"addEventListener","2995","$$('[data-input-view]').forEach(b=>b.onclick=()=>{const rows=inputCenterLibraryRows().filter(x=>inputCenterConfig.libraryScope==='local'?x.storageMode==='local':inputCenterConfig.libraryScope==='uep'?x.storageMode!=='local':true);const row=rows[Number(b.dataset.inputView)];if(row)inputCenterOpenDetail(row);}); $('[data-input-confirm-classification]')?.addEventListener('click',async()=>{const rows=filtered;if(!rows.length)return toast('확정할 배치가 없습니다.');const nature=$('[data-input-review-nature]')?.value||'기타';const programId=$('[data-input-review-program]')?.value||'';const program=(readonlyCache?.programs||[]).find(v=>String(v.id||v.programId||'')===String(programId))||{};const result=await window.schoolBoard?.classifyInputBatch?.({batchId:activeBatchId,nature,programId,programKind:program.kind||'',programName:program.actualTitle||program.title||'',programSemester:program.semester||program.term||''});if(!result?.ok)return toast(result?.reason||'검수·분류 저장에 실패했습니다.');await refreshReadonlyCacheSilently({force:true,rerender:false});inputCenterConfig.tab='review';toast(`${result.count||rows.length}건 검수·분류 확정 · 03 UEP 적용으로 이동합니다.`);render('inputs');}); $('[data-input-export-csv]')?.addEventListener('click',inputCenterExportCsv); $('[data-input-apply-local]')?.addEventListener('click',()=>inputCenterApply('local'));"
"addEventListener","2996","$('[data-input-confirm-classification]')?.addEventListener('click',async()=>{const rows=filtered;if(!rows.length)return toast('확정할 배치가 없습니다.');const nature=$('[data-input-review-nature]')?.value||'기타';const programId=$('[data-input-review-program]')?.value||'';const program=(readonlyCache?.programs||[]).find(v=>String(v.id||v.programId||'')===String(programId))||{};const result=await window.schoolBoard?.classifyInputBatch?.({batchId:activeBatchId,nature,programId,programKind:program.kind||'',programName:program.actualTitle||program.title||'',programSemester:program.semester||program.term||''});if(!result?.ok)return toast(result?.reason||'검수·분류 저장에 실패했습니다.');await refreshReadonlyCacheSilently({force:true,rerender:false});inputCenterConfig.tab='review';toast(`${result.count||rows.length}건 검수·분류 확정 · 03 UEP 적용으로 이동합니다.`);render('inputs');}); $('[data-input-export-csv]')?.addEventListener('click',inputCenterExportCsv); $('[data-input-apply-local]')?.addEventListener('click',()=>inputCenterApply('local')); $('[data-input-apply-uep]')?.addEventListener('click',()=>inputCenterApply('uep'));"
"addEventListener","2997","$('[data-input-confirm-classification]')?.addEventListener('click',async()=>{const rows=filtered;if(!rows.length)return toast('확정할 배치가 없습니다.');const nature=$('[data-input-review-nature]')?.value||'기타';const programId=$('[data-input-review-program]')?.value||'';const program=(readonlyCache?.programs||[]).find(v=>String(v.id||v.programId||'')===String(programId))||{};const result=await window.schoolBoard?.classifyInputBatch?.({batchId:activeBatchId,nature,programId,programKind:program.kind||'',programName:program.actualTitle||program.title||'',programSemester:program.semester||program.term||''});if(!result?.ok)return toast(result?.reason||'검수·분류 저장에 실패했습니다.');await refreshReadonlyCacheSilently({force:true,rerender:false});inputCenterConfig.tab='review';toast(`${result.count||rows.length}건 검수·분류 확정 · 03 UEP 적용으로 이동합니다.`);render('inputs');}); $('[data-input-export-csv]')?.addEventListener('click',inputCenterExportCsv); $('[data-input-apply-local]')?.addEventListener('click',()=>inputCenterApply('local')); $('[data-input-apply-uep]')?.addEventListener('click',()=>inputCenterApply('uep')); $$('[data-input-review-view]').forEach(b=>b.onclick=()=>{const row=inputCenterReviewRowsCache[Number(b.dataset.inputReviewView)];if(row)inputCenterOpenDetail(row);});"
"addEventListener","2998","$('[data-input-export-csv]')?.addEventListener('click',inputCenterExportCsv); $('[data-input-apply-local]')?.addEventListener('click',()=>inputCenterApply('local')); $('[data-input-apply-uep]')?.addEventListener('click',()=>inputCenterApply('uep')); $$('[data-input-review-view]').forEach(b=>b.onclick=()=>{const row=inputCenterReviewRowsCache[Number(b.dataset.inputReviewView)];if(row)inputCenterOpenDetail(row);}); $$('[data-input-purpose]').forEach(b=>b.onclick=()=>{inputCenterConfig.purpose=b.dataset.inputPurpose;const map={'보고서 연결':'보고서·탐구보고서','프로그램 참가신청':'프로그램 신청서','만족도조사':'만족도·설문조사','텍스트 추출·기타':'기타'};inputCenterConfig.type=map[inputCenterConfig.purpose]||'기타';inputCenterConfig.programId='';render('inputs');});"
"addEventListener","3002","$$('[data-input-purpose]').forEach(b=>b.onclick=()=>{inputCenterConfig.purpose=b.dataset.inputPurpose;const map={'보고서 연결':'보고서·탐구보고서','프로그램 참가신청':'프로그램 신청서','만족도조사':'만족도·설문조사','텍스트 추출·기타':'기타'};inputCenterConfig.type=map[inputCenterConfig.purpose]||'기타';inputCenterConfig.programId='';render('inputs');}); $$('[data-input-source]').forEach(b=>b.onclick=()=>{inputCenterConfig.source=b.dataset.inputSource;const actual={'Excel·CSV':'교사 파일','문서 파일':'교사 파일'}[inputCenterConfig.source]||inputCenterConfig.source;if(actual==='리로스쿨'&&inputCenterConfig.purpose==='보고서 연결')inputCenterConfig.subtype='보고서 제출';else if(actual==='리로스쿨'&&inputCenterConfig.purpose==='프로그램 참가신청')inputCenterConfig.subtype='참가신청 명단';render('inputs');}); $('[data-input-subtype]')?.addEventListener('change',e=>inputCenterConfig.subtype=e.target.value); $$('input[name=""input-storage""]').forEach(r=>r.addEventListener('change',e=>inputCenterConfig.storageMode=e.target.value)); $('[data-input-semester]')?.addEventListener('change',e=>{inputCenterConfig.semester=e.target.value;inputCenterConfig.programId='';render('inputs');});"
"addEventListener","3003","$$('[data-input-source]').forEach(b=>b.onclick=()=>{inputCenterConfig.source=b.dataset.inputSource;const actual={'Excel·CSV':'교사 파일','문서 파일':'교사 파일'}[inputCenterConfig.source]||inputCenterConfig.source;if(actual==='리로스쿨'&&inputCenterConfig.purpose==='보고서 연결')inputCenterConfig.subtype='보고서 제출';else if(actual==='리로스쿨'&&inputCenterConfig.purpose==='프로그램 참가신청')inputCenterConfig.subtype='참가신청 명단';render('inputs');}); $('[data-input-subtype]')?.addEventListener('change',e=>inputCenterConfig.subtype=e.target.value); $$('input[name=""input-storage""]').forEach(r=>r.addEventListener('change',e=>inputCenterConfig.storageMode=e.target.value)); $('[data-input-semester]')?.addEventListener('change',e=>{inputCenterConfig.semester=e.target.value;inputCenterConfig.programId='';render('inputs');}); const titleInput=$('[data-input-title]'); if(titleInput){titleInput.readOnly=false;titleInput.disabled=false;titleInput.addEventListener('input',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('change',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('keydown',e=>{e.stopPropagation();});}"
"addEventListener","3004","$('[data-input-subtype]')?.addEventListener('change',e=>inputCenterConfig.subtype=e.target.value); $$('input[name=""input-storage""]').forEach(r=>r.addEventListener('change',e=>inputCenterConfig.storageMode=e.target.value)); $('[data-input-semester]')?.addEventListener('change',e=>{inputCenterConfig.semester=e.target.value;inputCenterConfig.programId='';render('inputs');}); const titleInput=$('[data-input-title]'); if(titleInput){titleInput.readOnly=false;titleInput.disabled=false;titleInput.addEventListener('input',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('change',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('keydown',e=>{e.stopPropagation();});} $('[data-input-batch-scope]')?.addEventListener('change',e=>{inputCenterConfig.batchScope=e.target.value;render('inputs');});"
"addEventListener","3005","$$('input[name=""input-storage""]').forEach(r=>r.addEventListener('change',e=>inputCenterConfig.storageMode=e.target.value)); $('[data-input-semester]')?.addEventListener('change',e=>{inputCenterConfig.semester=e.target.value;inputCenterConfig.programId='';render('inputs');}); const titleInput=$('[data-input-title]'); if(titleInput){titleInput.readOnly=false;titleInput.disabled=false;titleInput.addEventListener('input',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('change',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('keydown',e=>{e.stopPropagation();});} $('[data-input-batch-scope]')?.addEventListener('change',e=>{inputCenterConfig.batchScope=e.target.value;render('inputs');}); $('[data-input-batch-grade]')?.addEventListener('change',e=>{inputCenterConfig.batchGrade=e.target.value;render('inputs');});"
"addEventListener","3005","$$('input[name=""input-storage""]').forEach(r=>r.addEventListener('change',e=>inputCenterConfig.storageMode=e.target.value)); $('[data-input-semester]')?.addEventListener('change',e=>{inputCenterConfig.semester=e.target.value;inputCenterConfig.programId='';render('inputs');}); const titleInput=$('[data-input-title]'); if(titleInput){titleInput.readOnly=false;titleInput.disabled=false;titleInput.addEventListener('input',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('change',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('keydown',e=>{e.stopPropagation();});} $('[data-input-batch-scope]')?.addEventListener('change',e=>{inputCenterConfig.batchScope=e.target.value;render('inputs');}); $('[data-input-batch-grade]')?.addEventListener('change',e=>{inputCenterConfig.batchGrade=e.target.value;render('inputs');});"
"addEventListener","3005","$$('input[name=""input-storage""]').forEach(r=>r.addEventListener('change',e=>inputCenterConfig.storageMode=e.target.value)); $('[data-input-semester]')?.addEventListener('change',e=>{inputCenterConfig.semester=e.target.value;inputCenterConfig.programId='';render('inputs');}); const titleInput=$('[data-input-title]'); if(titleInput){titleInput.readOnly=false;titleInput.disabled=false;titleInput.addEventListener('input',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('change',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('keydown',e=>{e.stopPropagation();});} $('[data-input-batch-scope]')?.addEventListener('change',e=>{inputCenterConfig.batchScope=e.target.value;render('inputs');}); $('[data-input-batch-grade]')?.addEventListener('change',e=>{inputCenterConfig.batchGrade=e.target.value;render('inputs');});"
"addEventListener","3006","$('[data-input-semester]')?.addEventListener('change',e=>{inputCenterConfig.semester=e.target.value;inputCenterConfig.programId='';render('inputs');}); const titleInput=$('[data-input-title]'); if(titleInput){titleInput.readOnly=false;titleInput.disabled=false;titleInput.addEventListener('input',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('change',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('keydown',e=>{e.stopPropagation();});} $('[data-input-batch-scope]')?.addEventListener('change',e=>{inputCenterConfig.batchScope=e.target.value;render('inputs');}); $('[data-input-batch-grade]')?.addEventListener('change',e=>{inputCenterConfig.batchGrade=e.target.value;render('inputs');}); $('[data-input-batch-class]')?.addEventListener('change',e=>{inputCenterConfig.batchClass=e.target.value;render('inputs');});"
"addEventListener","3007","const titleInput=$('[data-input-title]'); if(titleInput){titleInput.readOnly=false;titleInput.disabled=false;titleInput.addEventListener('input',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('change',e=>{inputCenterConfig.title=e.target.value;});titleInput.addEventListener('keydown',e=>{e.stopPropagation();});} $('[data-input-batch-scope]')?.addEventListener('change',e=>{inputCenterConfig.batchScope=e.target.value;render('inputs');}); $('[data-input-batch-grade]')?.addEventListener('change',e=>{inputCenterConfig.batchGrade=e.target.value;render('inputs');}); $('[data-input-batch-class]')?.addEventListener('change',e=>{inputCenterConfig.batchClass=e.target.value;render('inputs');}); $('[data-input-batch-student]')?.addEventListener('input',e=>{inputCenterConfig.batchStudentNo=e.target.value;});"
"addEventListener","3008","$('[data-input-batch-scope]')?.addEventListener('change',e=>{inputCenterConfig.batchScope=e.target.value;render('inputs');}); $('[data-input-batch-grade]')?.addEventListener('change',e=>{inputCenterConfig.batchGrade=e.target.value;render('inputs');}); $('[data-input-batch-class]')?.addEventListener('change',e=>{inputCenterConfig.batchClass=e.target.value;render('inputs');}); $('[data-input-batch-student]')?.addEventListener('input',e=>{inputCenterConfig.batchStudentNo=e.target.value;}); $('[data-input-expected-count]')?.addEventListener('input',e=>{inputCenterConfig.expectedCount=e.target.value;render('inputs');});"
"addEventListener","3009","$('[data-input-batch-grade]')?.addEventListener('change',e=>{inputCenterConfig.batchGrade=e.target.value;render('inputs');}); $('[data-input-batch-class]')?.addEventListener('change',e=>{inputCenterConfig.batchClass=e.target.value;render('inputs');}); $('[data-input-batch-student]')?.addEventListener('input',e=>{inputCenterConfig.batchStudentNo=e.target.value;}); $('[data-input-expected-count]')?.addEventListener('input',e=>{inputCenterConfig.expectedCount=e.target.value;render('inputs');}); $('[data-input-pages-per-student]')?.addEventListener('change',e=>{inputCenterConfig.pagesPerStudent=e.target.value;render('inputs');});"
"addEventListener","3010","$('[data-input-batch-class]')?.addEventListener('change',e=>{inputCenterConfig.batchClass=e.target.value;render('inputs');}); $('[data-input-batch-student]')?.addEventListener('input',e=>{inputCenterConfig.batchStudentNo=e.target.value;}); $('[data-input-expected-count]')?.addEventListener('input',e=>{inputCenterConfig.expectedCount=e.target.value;render('inputs');}); $('[data-input-pages-per-student]')?.addEventListener('change',e=>{inputCenterConfig.pagesPerStudent=e.target.value;render('inputs');}); $('[data-input-paste]')?.addEventListener('input',e=>inputCenterConfig.manualText=e.target.value);"
"addEventListener","3011","$('[data-input-batch-student]')?.addEventListener('input',e=>{inputCenterConfig.batchStudentNo=e.target.value;}); $('[data-input-expected-count]')?.addEventListener('input',e=>{inputCenterConfig.expectedCount=e.target.value;render('inputs');}); $('[data-input-pages-per-student]')?.addEventListener('change',e=>{inputCenterConfig.pagesPerStudent=e.target.value;render('inputs');}); $('[data-input-paste]')?.addEventListener('input',e=>inputCenterConfig.manualText=e.target.value); $('[data-input-program]')?.addEventListener('change',e=>{inputCenterConfig.programId=e.target.value;const p=(readonlyCache?.programs||[]).find(v=>String(v.id||v.programId||'')===String(e.target.value))||{};const sem=String(p.semester||p.term||'');if(/1/.test(sem))inputCenterConfig.semester='1';else if(/2/.test(sem))inputCenterConfig.semester='2';});"
"addEventListener","3012","$('[data-input-expected-count]')?.addEventListener('input',e=>{inputCenterConfig.expectedCount=e.target.value;render('inputs');}); $('[data-input-pages-per-student]')?.addEventListener('change',e=>{inputCenterConfig.pagesPerStudent=e.target.value;render('inputs');}); $('[data-input-paste]')?.addEventListener('input',e=>inputCenterConfig.manualText=e.target.value); $('[data-input-program]')?.addEventListener('change',e=>{inputCenterConfig.programId=e.target.value;const p=(readonlyCache?.programs||[]).find(v=>String(v.id||v.programId||'')===String(e.target.value))||{};const sem=String(p.semester||p.term||'');if(/1/.test(sem))inputCenterConfig.semester='1';else if(/2/.test(sem))inputCenterConfig.semester='2';}); $('[data-input-files]')?.addEventListener('click',inputCenterSelectFiles);"
"addEventListener","3013","$('[data-input-pages-per-student]')?.addEventListener('change',e=>{inputCenterConfig.pagesPerStudent=e.target.value;render('inputs');}); $('[data-input-paste]')?.addEventListener('input',e=>inputCenterConfig.manualText=e.target.value); $('[data-input-program]')?.addEventListener('change',e=>{inputCenterConfig.programId=e.target.value;const p=(readonlyCache?.programs||[]).find(v=>String(v.id||v.programId||'')===String(e.target.value))||{};const sem=String(p.semester||p.term||'');if(/1/.test(sem))inputCenterConfig.semester='1';else if(/2/.test(sem))inputCenterConfig.semester='2';}); $('[data-input-files]')?.addEventListener('click',inputCenterSelectFiles); $('[data-input-open-folder]')?.addEventListener('click',()=>window.schoolBoard?.openInputFolder?.());"
"addEventListener","3014","$('[data-input-paste]')?.addEventListener('input',e=>inputCenterConfig.manualText=e.target.value); $('[data-input-program]')?.addEventListener('change',e=>{inputCenterConfig.programId=e.target.value;const p=(readonlyCache?.programs||[]).find(v=>String(v.id||v.programId||'')===String(e.target.value))||{};const sem=String(p.semester||p.term||'');if(/1/.test(sem))inputCenterConfig.semester='1';else if(/2/.test(sem))inputCenterConfig.semester='2';}); $('[data-input-files]')?.addEventListener('click',inputCenterSelectFiles); $('[data-input-open-folder]')?.addEventListener('click',()=>window.schoolBoard?.openInputFolder?.()); $('[data-input-add-text]')?.addEventListener('click',()=>{const raw=$('[data-input-paste]')?.value||'';if(!raw.trim())return toast('붙여넣을 내용을 입력해 주세요.');const fake={name:'직접입력.txt',extension:'txt',size:new Blob([raw]).size,text:raw,path:''};inputCenterDrafts.push(...inputCenterExpandTextFile(fake));inputCenterConfig.manualText='';render('inputs');});"
"addEventListener","3015","$('[data-input-program]')?.addEventListener('change',e=>{inputCenterConfig.programId=e.target.value;const p=(readonlyCache?.programs||[]).find(v=>String(v.id||v.programId||'')===String(e.target.value))||{};const sem=String(p.semester||p.term||'');if(/1/.test(sem))inputCenterConfig.semester='1';else if(/2/.test(sem))inputCenterConfig.semester='2';}); $('[data-input-files]')?.addEventListener('click',inputCenterSelectFiles); $('[data-input-open-folder]')?.addEventListener('click',()=>window.schoolBoard?.openInputFolder?.()); $('[data-input-add-text]')?.addEventListener('click',()=>{const raw=$('[data-input-paste]')?.value||'';if(!raw.trim())return toast('붙여넣을 내용을 입력해 주세요.');const fake={name:'직접입력.txt',extension:'txt',size:new Blob([raw]).size,text:raw,path:''};inputCenterDrafts.push(...inputCenterExpandTextFile(fake));inputCenterConfig.manualText='';render('inputs');}); $('[data-input-clear]')?.addEventListener('click',()=>{if(inputCenterDrafts.length&&confirm('현재 대기목록을 비울까요?')){inputCenterDrafts=[];render('inputs');}});"
"addEventListener","3016","$('[data-input-files]')?.addEventListener('click',inputCenterSelectFiles); $('[data-input-open-folder]')?.addEventListener('click',()=>window.schoolBoard?.openInputFolder?.()); $('[data-input-add-text]')?.addEventListener('click',()=>{const raw=$('[data-input-paste]')?.value||'';if(!raw.trim())return toast('붙여넣을 내용을 입력해 주세요.');const fake={name:'직접입력.txt',extension:'txt',size:new Blob([raw]).size,text:raw,path:''};inputCenterDrafts.push(...inputCenterExpandTextFile(fake));inputCenterConfig.manualText='';render('inputs');}); $('[data-input-clear]')?.addEventListener('click',()=>{if(inputCenterDrafts.length&&confirm('현재 대기목록을 비울까요?')){inputCenterDrafts=[];render('inputs');}}); $('[data-input-save]')?.addEventListener('click',inputCenterSave);"
"addEventListener","3017","$('[data-input-open-folder]')?.addEventListener('click',()=>window.schoolBoard?.openInputFolder?.()); $('[data-input-add-text]')?.addEventListener('click',()=>{const raw=$('[data-input-paste]')?.value||'';if(!raw.trim())return toast('붙여넣을 내용을 입력해 주세요.');const fake={name:'직접입력.txt',extension:'txt',size:new Blob([raw]).size,text:raw,path:''};inputCenterDrafts.push(...inputCenterExpandTextFile(fake));inputCenterConfig.manualText='';render('inputs');}); $('[data-input-clear]')?.addEventListener('click',()=>{if(inputCenterDrafts.length&&confirm('현재 대기목록을 비울까요?')){inputCenterDrafts=[];render('inputs');}}); $('[data-input-save]')?.addEventListener('click',inputCenterSave); $$('[data-input-draft]').forEach(row=>{const draft=inputCenterDrafts.find(d=>d.draftId===row.dataset.inputDraft);if(!draft)return;row.querySelector('[data-input-select]')?.addEventListener('change',e=>draft.selected=e.target.checked);});"
"addEventListener","3018","$('[data-input-add-text]')?.addEventListener('click',()=>{const raw=$('[data-input-paste]')?.value||'';if(!raw.trim())return toast('붙여넣을 내용을 입력해 주세요.');const fake={name:'직접입력.txt',extension:'txt',size:new Blob([raw]).size,text:raw,path:''};inputCenterDrafts.push(...inputCenterExpandTextFile(fake));inputCenterConfig.manualText='';render('inputs');}); $('[data-input-clear]')?.addEventListener('click',()=>{if(inputCenterDrafts.length&&confirm('현재 대기목록을 비울까요?')){inputCenterDrafts=[];render('inputs');}}); $('[data-input-save]')?.addEventListener('click',inputCenterSave); $$('[data-input-draft]').forEach(row=>{const draft=inputCenterDrafts.find(d=>d.draftId===row.dataset.inputDraft);if(!draft)return;row.querySelector('[data-input-select]')?.addEventListener('change',e=>draft.selected=e.target.checked);}); }"
"addEventListener","3019","$('[data-input-clear]')?.addEventListener('click',()=>{if(inputCenterDrafts.length&&confirm('현재 대기목록을 비울까요?')){inputCenterDrafts=[];render('inputs');}}); $('[data-input-save]')?.addEventListener('click',inputCenterSave); $$('[data-input-draft]').forEach(row=>{const draft=inputCenterDrafts.find(d=>d.draftId===row.dataset.inputDraft);if(!draft)return;row.querySelector('[data-input-select]')?.addEventListener('change',e=>draft.selected=e.target.checked);}); }"
"addEventListener","3583","const remembered=state?.auth?.rememberedUser||state?.auth?.user;const canContinue=remembered&&remembered.name&&remembered.email&&!switchUser; gate.innerHTML=`<section class=""user-auth-card""><div class=""user-auth-brand""><span>U</span><div><small>UNHO EDUCATION PLATFORM</small><h2>${locked?'UEP 화면 잠금':'사용자 확인'}</h2><p>${locked?'학생정보 보호를 위해 현재 화면을 잠갔습니다.':'학교에 등록된 이메일을 기준으로 사용자를 확인합니다. 최고관리자는 신규 PC에서도 안전하게 진입할 수 있습니다.'}</p></div></div>${canContinue?`<button class=""user-auth-remembered"" id=""rememberedUserContinue""><b>${escapeHtml(remembered.name)}</b><span>${escapeHtml(maskEmail(remembered.email))}</span><small>${locked?'계속 사용':'자동 로그인 사용자'}</small></button><button class=""user-auth-text"" id=""useDifferentUser"">다른 사용자로 로그인</button>`:`<form id=""userAuthForm""><label>교사 이름<input id=""userAuthName"" autocomplete=""name"" required placeholder=""예: 홍석민""></label><label>교사 이메일<input id=""userAuthEmail"" type=""email"" autocomplete=""email"" required placeholder=""학교에 등록된 이메일""></label><label class=""user-auth-check""><input id=""userAuthRemember"" type=""checkbox""> 이 PC에서 자동 로그인</label><p id=""userAuthMessage"" class=""user-auth-message""></p><button class=""btn primary"" type=""submit"">UEP 시작</button></form>`}<div class=""user-auth-exit-row""><button type=""button"" class=""user-auth-text danger"" id=""userAuthExit"">UEP 종료</button></div><footer>PC 인증과 사용자 확인은 별도입니다. 상담 메모와 개인 권한은 현재 로그인 교사를 기준으로 표시됩니다.</footer></section>`; document.getElementById('useDifferentUser')?.addEventListener('click',()=>renderUserAuthGate({locked:false,switchUser:true})); document.getElementById('userAuthExit')?.addEventListener('click',async()=>{if(confirm('UEP를 종료할까요?'))await window.schoolBoard?.close?.();}); document.getElementById('rememberedUserContinue')?.addEventListener('click',async()=>{const account=findUserAccount(remembered.name,remembered.email);if(!account)return renderUserAuthGate({switchUser:true});state.auth.user=accountToSession(account);await save();hideUserAuthGate();navigate(state.activePage||'dashboard');});"
"addEventListener","3584","gate.innerHTML=`<section class=""user-auth-card""><div class=""user-auth-brand""><span>U</span><div><small>UNHO EDUCATION PLATFORM</small><h2>${locked?'UEP 화면 잠금':'사용자 확인'}</h2><p>${locked?'학생정보 보호를 위해 현재 화면을 잠갔습니다.':'학교에 등록된 이메일을 기준으로 사용자를 확인합니다. 최고관리자는 신규 PC에서도 안전하게 진입할 수 있습니다.'}</p></div></div>${canContinue?`<button class=""user-auth-remembered"" id=""rememberedUserContinue""><b>${escapeHtml(remembered.name)}</b><span>${escapeHtml(maskEmail(remembered.email))}</span><small>${locked?'계속 사용':'자동 로그인 사용자'}</small></button><button class=""user-auth-text"" id=""useDifferentUser"">다른 사용자로 로그인</button>`:`<form id=""userAuthForm""><label>교사 이름<input id=""userAuthName"" autocomplete=""name"" required placeholder=""예: 홍석민""></label><label>교사 이메일<input id=""userAuthEmail"" type=""email"" autocomplete=""email"" required placeholder=""학교에 등록된 이메일""></label><label class=""user-auth-check""><input id=""userAuthRemember"" type=""checkbox""> 이 PC에서 자동 로그인</label><p id=""userAuthMessage"" class=""user-auth-message""></p><button class=""btn primary"" type=""submit"">UEP 시작</button></form>`}<div class=""user-auth-exit-row""><button type=""button"" class=""user-auth-text danger"" id=""userAuthExit"">UEP 종료</button></div><footer>PC 인증과 사용자 확인은 별도입니다. 상담 메모와 개인 권한은 현재 로그인 교사를 기준으로 표시됩니다.</footer></section>`; document.getElementById('useDifferentUser')?.addEventListener('click',()=>renderUserAuthGate({locked:false,switchUser:true})); document.getElementById('userAuthExit')?.addEventListener('click',async()=>{if(confirm('UEP를 종료할까요?'))await window.schoolBoard?.close?.();}); document.getElementById('rememberedUserContinue')?.addEventListener('click',async()=>{const account=findUserAccount(remembered.name,remembered.email);if(!account)return renderUserAuthGate({switchUser:true});state.auth.user=accountToSession(account);await save();hideUserAuthGate();navigate(state.activePage||'dashboard');}); document.getElementById('userAuthForm')?.addEventListener('submit',async event=>{event.preventDefault();const name=document.getElementById('userAuthName')?.value,email=document.getElementById('userAuthEmail')?.value;const account=findUserAccount(name,email);if(!account){authGateMessage(userAuthFailureMessage(name,email));return;}const user=accountToSession(account),remember=Boolean(document.getElementById('userAuthRemember')?.checked);state.auth.user=user;state.auth.rememberUser=remember;state.auth.rememberedUser=remember?{id:user.id,name:user.name,email:user.email}:null;state.settings.userProfile={...state.settings.userProfile,...user};state.settings.loginUserName=user.name;await save();hideUserAuthGate();navigate(state.activePage||'dashboard');});"
"addEventListener","3585","document.getElementById('useDifferentUser')?.addEventListener('click',()=>renderUserAuthGate({locked:false,switchUser:true})); document.getElementById('userAuthExit')?.addEventListener('click',async()=>{if(confirm('UEP를 종료할까요?'))await window.schoolBoard?.close?.();}); document.getElementById('rememberedUserContinue')?.addEventListener('click',async()=>{const account=findUserAccount(remembered.name,remembered.email);if(!account)return renderUserAuthGate({switchUser:true});state.auth.user=accountToSession(account);await save();hideUserAuthGate();navigate(state.activePage||'dashboard');}); document.getElementById('userAuthForm')?.addEventListener('submit',async event=>{event.preventDefault();const name=document.getElementById('userAuthName')?.value,email=document.getElementById('userAuthEmail')?.value;const account=findUserAccount(name,email);if(!account){authGateMessage(userAuthFailureMessage(name,email));return;}const user=accountToSession(account),remember=Boolean(document.getElementById('userAuthRemember')?.checked);state.auth.user=user;state.auth.rememberUser=remember;state.auth.rememberedUser=remember?{id:user.id,name:user.name,email:user.email}:null;state.settings.userProfile={...state.settings.userProfile,...user};state.settings.loginUserName=user.name;await save();hideUserAuthGate();navigate(state.activePage||'dashboard');}); }"
